"E_km","N_km","group"
771.34065497,6865.5224555,1
771.39253049,6865.54100839,1
771.75419753,6865.66143336,1
771.91864568,6865.70401042,1
772.29737218,6865.77498947,1
772.37807627,6865.7874006,1
772.83824947,6865.84284809,1
772.91118358,6865.84947481,1
773.24207507,6865.86978588,1
773.588754474449,6865.83470328142,1
774.10440062,6865.69822886,1
774.93046779,6865.75958373,1
775.69114217,6866.08749511,1
776.30291372,6866.64596352,1
776.593446824016,6867.18026225383,1
776.60168311,6867.17597954,1
776.7697623,6867.49922043,1
776.8951337,6867.62715047,1
776.9589652,6867.67543443,1
777.08850125,6867.76129431,1
777.30953066,6867.88875151,1
777.34637994,6867.90918099,1
777.55544354,6868.02052246,1
777.78698084,6868.11538714,1
777.85828838,6868.13653773,1
778.2727909,6868.30096605,1
778.27614473,6868.30265684,1
779.00913386,6868.49955072,1
779.007368622116,6868.50612228136,1
779.088821939761,6868.52878316768,1
779.09255515,6868.50646059,1
779.87602103,6868.6374868,1
779.874034143448,6868.64936730674,1
780.4293054,6868.74605572,1
781.15345028,6869.14625713,1
781.70731775,6869.76089345,1
782.03024407,6870.5226451,1
782.08685993,6871.3480793,1
781.87096433,6872.14678831,1
781.40620379,6872.83129149,1
781.3506269,6872.8894487,1
780.92178651,6873.24779005,1
780.71741019,6873.38288412,1
780.6581593,6873.43516819,1
780.51196169,6873.58809724,1
780.4080266,6873.71714732,1
780.406190061572,6873.71566819825,1
780.29638347,6873.87909244,1
780.25725285,6873.92054777,1
780.065877947012,6874.07716485506,1
780.0751605,6874.08756434,1
780.04131598,6874.11777387,1
779.99090288,6874.16277249,1
779.59956596,6874.51207893,1
779.53501406,6874.59341854,1
779.41581098,6874.76189903,1
779.410057813061,6874.75782855724,1
779.09188776,6875.15105867,1
779.00589631,6875.23459533,1
778.87542833,6875.37340259,1
778.870255599133,6875.36854062731,1
778.79151003,6875.47336193,1
778.555658435694,6875.69942495259,1
778.44399104,6875.8343301,1
778.2695137,6876.01675123,1
778.13471392,6876.18454805,1
778.00066028,6876.38457997,1
777.89207416,6876.53431875,1
777.66086574,6876.82952332,1
777.61857076,6876.88204996,1
777.39001828,6877.15818338,1
777.33933917,6877.21750368,1
777.20761897,6877.36689857,1
777.06374237,6877.56688032,1
776.94548738,6877.77117826,1
776.881942345215,6877.87452841549,1
776.64037948,6878.41690024,1
776.62118299975,6878.4083504655,1
776.34400013221,6878.92774552061,1
776.36793778,6878.94169085,1
776.31244651,6879.03694356,1
776.22515285,6879.21932752,1
776.0998465,6879.54695412,1
776.03837308,6879.69353752,1
775.91412767,6879.96524216,1
775.86716507,6880.08353202,1
775.7938162,6880.29981273,1
775.74502492,6880.43141417,1
775.70459454,6880.53173059,1
775.610223656606,6880.73621963786,1
