"E_km","N_km","group"
20.97998768124,7000,1
21.04250547717,6999.34305995914,1
20.56402078384,6995.58629215402,1
20.67564953841,6994.30844422454,1
21.56157009301,6991.78151414288,1
21.57850644879,6991.40723156627,1
21.60632830624,6990.81171340993,1
21.11994075892,6986.82616669402,1
21.20973684293,6984.88614893073,1
20.32352294724,6981.90783679157,1
19.35273539389,6981.04724694093,1
18.57951197113,6978.42195475987,1
18.4129316404,6978.16338493487,1
18.17729471665,6977.79793031594,1
17.60089981531,6977.3068308347,1
16.85828959953,6977.20308552899,1
15.99620718958,6977.33344348853,1
15.58080824234,6977.09188463967,1
14.14392189326,6977.57240370644,1
12.22389423442,6976.51340959653,1
11.1466672486,6975.50350685949,1
10.3658189881,6974.20311157544,1
10.2100220792,6973.34154480822,1
10.4176714612,6971.8815158197,1
10.07214900266,6970.64359466319,1
9.4797500793,6968.87848327943,1
8.36432917258,6967.48715024159,1
7.68042928026,6966.82101997969,1
7.17952702843,6965.53704207164,1
6.57474889797,6964.94500066358,1
4.96830664929,6964.12980976804,1
4.25512139668,6963.3629066634,1
3.27714442355,6963.85403251732,1
2.35918414525,6963.8327725851,1
1.11895505326,6964.89312481298,1
0.74037686831,6965.0074570043,1
0,6964.95961673155,1
0,7000,1
20.97998768124,7000,1
1350,6403.10394600267,2
1349.90339652244,6402.92033905227,2
1349.86775921019,6402.78024246583,2
1349.81591886158,6402.57151854975,2
1349.81737768013,6402.40944677221,2
1349.90308763504,6402.16477472004,2
1350,6402.07608287968,2
1350,6395.35449045013,2
1349.84648956477,6395.26855927537,2
1349.57433804528,6395.01291386577,2
1349.16399641708,6394.63004349666,2
1348.87368127792,6394.3050801381,2
1348.56515265946,6393.91110914661,2
1348.42593345025,6393.65104193466,2
1348.24694104279,6393.41629685166,2
1348.06301199172,6393.04887765037,2
1347.98423910917,6392.80183822789,2
1347.90056072513,6392.58749839282,2
1347.85133760121,6392.51112647971,2
1347.75914558242,6392.32830203944,2
1347.69852586277,6392.15025793309,2
1347.65766008371,6392.04285130347,2
1347.61497369141,6391.93504316285,2
1347.57849357345,6391.79746655643,2
1347.48006393595,6391.64440435061,2
1347.44391388963,6391.50515976031,2
1347.3814616501,6391.49214236971,2
1347.35023556114,6391.4856336779,2
1347.31263025496,6391.50975810973,2
1347.30590530243,6391.54205560819,2
1347.62315662489,6392.19930963138,2
1347.64764237357,6392.23811235019,2
1347.66584266104,6392.30711783737,2
1347.68394907568,6392.37648885382,2
1347.70004623766,6392.44638378897,2
1347.74928483077,6392.52269453635,2
1347.71816784216,6392.51575876164,2
1347.68065583172,6392.53945208379,2
1347.58043917141,6392.55142546937,2
1347.43738008608,6391.99652880565,2
1347.36346783103,6391.88221219505,2
1347.33887268204,6391.8438362023,2
1347.2585810745,6391.76015291499,2
1347.17791294003,6391.67819122072,2
1347.09752739129,6391.59493869619,2
1347.00527445332,6391.41210191656,2
1346.96926684234,6391.27205104626,2
1346.9725269952,6391.10908101525,2
1346.86734269208,6390.98831080208,2
1346.84912651603,6390.91930242273,2
1346.7999361553,6390.84255171867,2
1346.77534097758,6390.80417640838,2
1346.68172739852,6390.78427823662,2
1346.63741356713,6390.84070402576,2
1346.61612607817,6390.93380442343,2
1346.62100199024,6391.06698036373,2
1346.60791339686,6391.12991416019,2
1346.6017225822,6391.15968620185,2
1346.63286963828,6391.16656415156,2
1346.66382840385,6391.17430279053,2
1346.71469441689,6391.08644483944,2
1346.72776730463,6391.02357176688,2
1346.76712924806,6391.00022223118,2
1346.79843376724,6391.00629637526,2
1346.81011336357,6391.106741266,2
1346.8197840178,6391.20764523559,2
1346.83162071311,6391.3072863885,2
1346.84933342484,6391.37876277527,2
1346.83641755934,6391.44083207436,2
1346.79689790472,6391.46498488635,2
1346.75929290482,6391.48910889791,2
1346.71649770772,6391.38172921097,2
1346.69355029152,6391.34462001003,2
1346.66711962559,6391.30583912308,2
1346.62943593698,6391.33039745592,2
1346.64095750287,6391.43164551019,2
1346.62141067761,6391.52558109301,2
1346.61493718512,6391.55664402528,2
