"E_km","N_km","STATIONID","group"
993.31176086175,6173.74764706312,"B-08",15
992.17600661588,6172.4964193066,"B-08",15
990.91588785299,6172.35461834408,"B-08",15
989.39720329753,6168.81454453626,"B-08",15
988.88962276691,6167.63485738203,"B-08",15
988.50648121406,6165.34592252596,"B-08",15
987.9989611066,6164.16649728991,"B-08",15
988.12258652954,6163.05702426396,"B-08",15
988.87763865626,6162.01832838854,"B-08",15
989.50922203727,6162.0888316346,"B-08",15
992.28622350412,6160.15340715512,"B-08",15
994.18267807139,6160.36671152935,"B-08",15
995.22409469191,6159.6426727323,"B-08",15
996.43586872823,6144.26737400188,"B-08",15
993.13035137218,6141.15454593079,"B-08",15
981.00855330821,6139.48276692418,"B-08",15
960.05114057211,6137.21117459692,"B-08",15
957.01895305482,6174.28739935227,"B-08",15
993.75087805554,6178.29071197451,"B-08",15
994.0150165647,6174.95081184375,"B-08",15
995.22409469191,6159.6426727323,"B-09",16
995.57255041601,6159.40040106755,"B-09",16
999.99811564525,6159.90257232266,"B-09",16
1001.26153984284,6148.81136770633,"B-09",16
996.43586872823,6144.26737400188,"B-09",16
995.22409469191,6159.6426727323,"B-09",16
1030.55956257922,6181.49270209259,"B-09",17
1030.08039664014,6181.43432156138,"B-09",17
997.84695935371,6178.75656485197,"B-09",17
997.34424954025,6177.5758606698,"B-09",17
997.47079219358,6176.46657262932,"B-09",17
998.22686927506,6175.42952529612,"B-09",17
994.0150165647,6174.95081184375,"B-09",17
993.75087805554,6178.29071197451,"B-09",17
1030.47456568392,6182.60711917532,"B-09",17
1030.55956257922,6181.49270209259,"B-09",17
701.34006403749,6136.70388678372,"B-18",18
701.0244262992,6137.20345010033,"B-18",18
700.3908607379,6137.17459495758,"B-18",18
700.34033767129,6138.28664585276,"B-18",18
699.07258796508,6138.22927370773,"B-18",18
699.02237375958,6139.34177518662,"B-18",18
698.38909983429,6139.31323596607,"B-18",18
697.70497449228,6140.39681804069,"B-18",18
697.07189227294,6140.36851092862,"B-18",18
697.02214444491,6141.48103725802,"B-18",18
696.38917782383,6141.45275364111,"B-18",18
695.70588677226,6142.53663201674,"B-18",18
695.07305129632,6142.50856490583,"B-18",18
694.39117121469,6143.59310417263,"B-18",18
693.12491485219,6143.5374368178,"B-18",18
692.44271855192,6144.62179573235,"B-18",18
689.27928212514,6144.48463488658,"B-18",18
688.5981721749,6145.56954570752,"B-18",18
687.33352977244,6145.51556206695,"B-18",18
686.02080873287,6146.57442556262,"B-18",18
684.75546313484,6146.52112304303,"B-18",18
684.07672378914,6147.60676983124,"B-18",18
682.76548247546,6148.66657666464,"B-18",18
681.50070913844,6148.61420954538,"B-18",18
680.19138605435,6149.67439095561,"B-18",18
679.51322684463,6150.7611351048,"B-18",18
678.25013302285,6150.70966852771,"B-18",18
676.94119766093,6151.77076981873,"B-18",18
676.30879783886,6151.7453142526,"B-18",18
675.00161133643,6152.80746764019,"B-18",18
673.7381682769,6152.75726132856,"B-18",18
672.39506693147,6153.84976980707,"B-18",18
699.47596332234,6154.96601063422,"B-18",18
701.34006403749,6136.70388678372,"B-18",18
732.65195480653,6193.77535663886,"C-01",19
736.29729406905,6156.79542875169,"C-01",19
699.47596332234,6154.96601063422,"C-01",19
695.73091916172,6191.94949283891,"C-01",19
732.65195480653,6193.77535663886,"C-01",19
769.57626134017,6195.91728728463,"C-02",20
773.12329238979,6158.9354177521,"C-02",20
736.29729406905,6156.79542875169,"C-02",20
732.65195480653,6193.77535663886,"C-02",20
769.57626134017,6195.91728728463,"C-02",20
806.47754012042,6198.37404722107,"C-03",21
809.92656125188,6161.38468380756,"C-03",21
773.12329238979,6158.9354177521,"C-03",21
769.57626134017,6195.91728728463,"C-03",21
806.47754012042,6198.37404722107,"C-03",21
843.36577171431,6201.1464597111,"C-04",22
846.71725665781,6164.14406017455,"C-04",22
809.92656125188,6161.38468380756,"C-04",22
806.47754012042,6198.37404722107,"C-04",22
843.36577171431,6201.1464597111,"C-04",22
880.24805048343,6204.23551722558,"C-05",23
883.50166270526,6167.21446087158,"C-05",23
846.71725665781,6164.14406017455,"C-05",23
843.36577171431,6201.1464597111,"C-05",23
880.24805048343,6204.23551722558,"C-05",23
917.11619151404,6207.64106131825,"C-06",24
920.27257801324,6170.5957941698,"C-06",24
883.50166270526,6167.21446087158,"C-06",24
880.24805048343,6204.23551722558,"C-06",24
917.11619151404,6207.64106131825,"C-06",24
953.95819613058,6211.36233161962,"C-07",25
957.01895305482,6174.28739935227,"C-07",25
920.27257801324,6170.5957941698,"C-07",25
917.11619151404,6207.64106131825,"C-07",25
953.95819613058,6211.36233161962,"C-07",25
990.78493102807,6215.40084114971,"C-08",26
993.75087805554,6178.29071197451,"C-08",26
957.01895305482,6174.28739935227,"C-08",26
953.95819613058,6211.36233161962,"C-08",26
990.78493102807,6215.40084114971,"C-08",26
1027.60246331077,6219.75797421747,"C-09",27
1030.47456568392,6182.60711917532,"C-09",27
993.75087805554,6178.29071197451,"C-09",27
990.78493102807,6215.40084114971,"C-09",27
1027.60246331077,6219.75797421747,"C-09",27
1064.41508463377,6224.06108267633,"C-10",28
1059.79006072267,6223.45424827812,"C-10",28
1059.31105100946,6222.26496012779,"C-10",28
1058.686742828,6222.18376649069,"C-10",28
1058.83069934599,6221.07610556344,"C-10",28
1057.24608536599,6218.61732286531,"C-10",28
1056.1414828097,6217.3477021578,"C-10",28
1055.03515313642,6216.07874610567,"C-10",28
1054.07063223345,6213.70184543464,"C-10",28
1052.19594105577,6213.46123810152,"C-10",28
1049.97909551744,6210.92560287066,"C-10",28
1048.72825215171,6210.76629415304,"C-10",28
1047.61797306169,6209.49940345629,"C-10",28
1045.53625247564,6205.85788502099,"C-10",28
1043.10133811559,6199.92272459839,"C-10",28
1041.98603126177,6198.65750178835,"C-10",28
1041.63636311183,6196.36252271587,"C-10",28
1041.14770208864,6195.17568046485,"C-10",28
1040.16832555579,6192.80295637122,"C-10",28
1039.05000236401,6191.53821532899,"C-10",28
1038.42234925891,6191.46031050953,"C-10",28
1037.30312346743,6190.19650704729,"C-10",28
1036.31998992914,6187.82439547269,"C-10",28
1034.57069705776,6186.48350835595,"C-10",28
1033.94236098934,6186.40627027446,"C-10",28
1032.8204013345,6185.14378680854,"C-10",28
1031.83569522186,6182.77898739418,"C-10",28
1030.47456568392,6182.60711917532,"C-10",28
1027.60246331077,6219.75797421747,"C-10",28
1064.38733410383,6224.43153065044,"C-10",28
1064.41508463377,6224.06108267633,"C-10",28
672.39506693147,6153.84976980707,"C-18",29
671.12534160155,6154.88252923252,"C-18",29
669.86248668298,6154.83344891124,"C-18",29
668.55688409476,6155.89741278563,"C-18",29
667.8834510557,6156.98545111789,"C-18",29
666.6212273771,6156.93732393074,"C-18",29
662.71140772286,6160.13274569439,"C-18",29
662.08125837054,6160.10937925287,"C-18",29
661.94479421651,6160.22107919557,"C-18",29
658.8041173439,6190.43881976119,"C-18",29
695.73091916172,6191.94949283891,"C-18",29
699.47596332234,6154.96601063422,"C-18",29
672.39506693147,6153.84976980707,"C-18",29
661.94479421651,6160.22107919557,"C-19",30
660.77910283705,6161.17520340276,"C-19",30
660.14811478625,6161.15205665132,"C-19",30
658.84772348476,6162.21887511768,"C-19",30
658.21685179469,6162.19600249022,"C-19",30
656.91721621737,6163.26297306705,"C-19",30
655.65688862034,6163.21795003264,"C-19",30
654.35721058409,6164.28563037968,"C-19",30
652.42882495637,6165.33208555797,"C-19",30
651.79942459569,6165.31019390113,"C-19",30
650.50131108969,6166.37896815446,"C-19",30
