"E_km","N_km","group"
1157.95020567398,6296.27248554951,1
1156.89533493988,6294.97482185922,1
1157.06832539057,6293.86949269718,1
1156.45449233949,6293.77349094459,1
1156.62737913992,6292.66774448304,1
1156.01337194271,6292.57183576757,1
1155.57090251109,6291.37048834879,1
1149.42598430476,6290.41636957221,1
1148.98151280925,6289.21543714085,1
1149.15214457871,6288.1099261526,1
1149.93848443541,6287.09905300087,1
1150.10923108808,6285.99353413225,1
1150.72414905007,6286.08855199403,1
1151.51014862238,6285.0777754183,1
1151.68118973098,6283.97228372377,1
1152.46852064806,6282.96217424562,1
1152.81086257706,6280.75084506681,1
1152.53618615719,6278.44398809135,1
1151.47479029504,6277.14769566302,1
1151.19848726037,6274.84101263817,1
1150.5819218398,6274.74599882703,1
1150.135410631,6273.54555905592,1
1101.98098043675,6266.42078863392,1
1103.25487234901,6248.53525498031,1
1102.47743994272,6249.55417018794,1
1102.01403562597,6248.35978224971,1
1100.30902611452,6246.99056847767,1
1099.06781133632,6246.81595542628,1
1097.36144193656,6245.44757260633,1
1093.63741290845,6244.9276913741,1
1091.30823846334,6243.47605000395,1
1087.58186639409,6242.96143790732,1
1083.38681303209,6241.25787080746,1
1080.43110717735,6239.72756772182,1
1075.45990187873,6239.05526936923,1
1073.74434638338,6237.69692023955,1
1071.40625519693,6236.25666115647,1
1068.91854214153,6235.92510167127,1
1067.82255981245,6234.65208401539,1
1066.57828482182,6234.48724703901,1
1067.27404537302,6224.43604292626,1
1059.79127039325,6223.45433451358,1
1059.31226066652,6222.26504620772,1
1058.68795241532,6222.18385253904,1
1058.83190898937,6221.07619148781,1
1057.24729491234,6218.61740844687,1
1056.14269227262,6217.3477875521,1
1055.03636251567,6216.07883131266,1
1054.071841585,6213.70193033002,1
1052.1971501975,6213.46132290215,1
1049.98030449117,6210.92568729633,1
1048.72946098529,6210.76637851556,1
1047.61918181097,6209.49948763125,1
1045.53746111207,6205.85796869606,1
1043.10254668019,6199.92280749221,1
1041.98723974145,6198.65758449416,1
1041.63757163304,6196.3626051405,1
1041.14891059539,6195.175762733,1
1040.16953403339,6192.80303832633,1
1039.05121075638,6191.53829709576,1
1038.42355758069,6191.46039224461,1
